,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),Indian Rupee,Indian Rupee,(%),Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,Rs. Crore
,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
Company Name,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA,Net profit margin,Reported Net Profit After Tax for the previous year,Profit after tax,Return on assets,Return on net worth,"Eps basic, AS 20","Eps diluted, AS 20",Operating profit margin of financial companies,Operating profit of financial companies,Gross non-performing assets (GNPA) to advances (in per cent),Net non-performing assets (NNPA) to net advances (in per cent),Operating profit as a percentage to working funds (NBFC),Add: New gross NPAs identified during year,Opening gross NPA,"Less: Deductions, repayments and write offs of gross NPAs",Closing balance gross NPA
A B Bank Ltd.,36.79,,2.87,3.43,6.34,,,63.12,4.57,,,,,0.07,0.07,,26.36,,2.38,3.42,5.37,,,60.07,5.25,,,,,,,,32.51,,2.88,3.84,6.2,,,59.88,5.09,,9.25,,2.65,,,2.65,30.56,,3.8,8.29,7.73,,,57.53,6.61,,6.5,,0.06,,,2.71,29.89,,4.72,5.58,9.19,,,52.87,8.01,,7.68,,,2.65,,2.65,27.27,,5.31,4.53,9.67,,,55.58,10.76,,,,,2.65,2.65,,33.7,,8.16,7.05,12.72,,,56.99,13.2,,0,,0,,,0,31.66,,7.99,5.03,11.24,,,53.5,13.22,,8.98,,5.74,0,0,5.74,23.72,,7.21,4.22,9.17,,,48.36,14.41,,8.16,,7,5.74,5.74,7,31.08,,10.59,5.13,12.09,,,56.25,18.81,,7.83,,1.46,7,0,8.46,19.82,,7.09,3.07,7.63,,,53.58,18.88,13.5,5.95,,0.44,8.46,,8.9,17.24,,8.09,3.48,6.45,,,40.23,13.32,12.58,,,,8.9,,8.9,27.68,,9.22,4.17,9.84,,,44.81,13.72,82.92,,,,8.9,,8.9,26.03,,9.38,4.28,10,,,47.61,15.61,,,,,8.9,,,9.48,,3.24,1.31,3.29,,,9.41,2.83,,,,,,,
A P Mahesh Co-Operative Urban Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.92,,6.82,,,,,13.27,8.24,,,,,,,,0,,,,0,,,0,,,,,,,,,12.72,,12,2.63,25.95,,,38.11,35.77,,0.19,,,,,31.51,9.68,,5.08,1.23,5.1,,,13.75,6.98,,,,,,,30.63,6.52,,3.16,0.81,2.91,,,5.68,2.6,,,,,,,22.74,9.95,,4.81,0.95,4.69,,,6.45,3,,,,,,,17.05,7.83,,4.16,0.9,4.15,,,9.36,4.89,,,,,,,11.2,13.69,,8.63,1.53,8.85,,,19.96,13.09,,,,,,,12.43
A U Small Finance Bank Ltd.,23.77,,11.85,,42.56,11.73,6.72,38.19,20.17,,,,,,,,26.16,,42,,64.05,29.82,13.64,43.76,69.18,,,,,,,,19.61,,50.11,,24.23,29.43,15.47,31.39,79.38,,,,,,,,18.75,,80.21,,20.96,20.9,17.56,31.98,140.41,,,,,,,,14.56,,92.39,,16.17,22.15,22.15,34.29,210.64,,,,,,,,19.65,,140.23,,19.1,32.03,32.03,37.89,266.83,,,,,,,,19.15,,211.62,,21.33,8,7.95,35.86,362.88,,,,,,,,39.33,,821.98,,54.85,30.18,29.61,58.69,1206.16,,1.22,,104.47,74.14,54.1,124.51,13.57,,292.04,2.04,13.71,10.26,10,19.8,390.01,2.01,1.27,,206.25,124.51,61.03,269.74,11.23,,381.81,1.48,14.08,13.16,12.9,18.26,600.66,2.04,1.29,,447.73,269.74,247.33,470.14,13.54,,674.78,1.81,17.93,22.78,22.32,22.36,1092.83,1.7,0.81,,617.03,470.14,629.39,457.78,17.82,,1170.68,2.5,21.32,38.19,37.86,31.92,1989.5,4.25,2.18,,1285.78,457.78,240.73,1502.83,16.35,,1129.83,1.87,16.4,18.03,17.85,23.62,1576.96,1.98,0.5,,1442.12,1502.83,2020.57,924.38,14.36,,1427.93,1.79,14.43,21.86,21.74,20.95,1925.83,1.66,0.42,,1239.88,924.38,1182.95,981.31,11.68,,1534.72,,12.2,22.98,22.86,19.35,2366.66,,,,,,,
Abhyudaya Co-Op. Bank Ltd.,40.63,,104.61,0.7,25.13,,,39.76,100.9,,,,65.99,179.11,40.59,204.51,18.13,,37.76,1,7.62,,,15.82,32.05,,,,37.42,204.51,58.69,183.24,28.25,,60.88,3.06,11.24,,,26.03,54.4,,,,35.56,183.24,32.32,186.49,17.39,,44.23,0.72,7.17,,,19.02,46.94,,,,65.15,186.49,48.15,203.48,15.9,,52.81,1.24,7.74,,,24.46,79.2,,,,45.23,203.48,44.53,204.18,22.38,,100.91,2.37,13.27,,,34.79,152.63,,,,98.03,204.18,44.65,257.56,3.89,,22.12,0.63,2.03,3.79,3.79,6.05,25.8,,,,157.87,257.57,87.19,328.24,3.92,,22.26,1.31,2.48,11.96,11.96,18.42,100.8,,,,80.95,328.24,106.68,302.51,9.13,,72.92,1.13,7.21,10.64,10.64,14.6,104.77,,,,117.96,302.51,61.26,359.22,13.32,,135.51,1.05,12.99,10.95,10.95,19.37,187.67,,,,133.96,359.22,44.62,448.56,5.51,,63.39,0.97,5.14,10.28,10.28,7.9,82.46,,,,183.57,448.56,69.09,563.04,4.14,,54.88,0.29,4.05,3.16,3.16,11.95,137.92,,,,751.13,563.04,200.27,1113.9,5.01,,57.58,0.02,4.52,0.21,0.21,7.14,77.34,,,,384.72,1113.9,104.63,1393.99,3.29,,37.84,0.13,,1.08,1.08,3.71,39.59,,,,313.47,397.56,250.97,460.06,1.56,,18.93,0.03,1.66,0.23,0.23,3.85,38.41,6.91,3.82,,459.31,460.06,137.06,782.31
Abu Dhabi Commercial Bank Ltd.,-54.33,,-50.2,-2.57,-118.16,,,-1.38,-2.13,,12.73,,2.91,77.07,38.82,41.17,-2.41,,4.58,0.35,-3.85,,,4.33,5.08,,15.97,,38.76,41.17,16.75,63.18,-16.19,,1.92,0.23,-10.96,,,11.13,5.78,,0.63,,2.04,63.18,25.44,39.77,-19.08,,28.97,3.96,-11.32,,,31.06,17.01,,,,3.92,39.77,24.2,19.49,20.11,,16.36,2.4,9.21,,,38.95,20.42,,,,0.75,19.49,6.11,14.13,16.09,,7.62,1.13,5.63,,,25.47,11.33,,0.19,,0.39,14.13,0.43,14.09,4.62,,8.22,1.12,1.59,,,16.27,7.57,,2.89,,7.72,14.09,9.06,12.75,14.21,,16.32,1.87,5.09,,,27.87,22.35,,,,0.38,12.75,10.01,3.12,12.13,,18.2,1.4,4.75,,,24.41,30.32,,0,,0.03,3.12,3.12,0.03,5.11,,10.45,0.56,2.48,,,19.09,30.45,2.03,0.62,,24.89,0.03,,24.92,6.67,,13.61,0.57,3.79,,,15.89,31.12,1.3,0.08,,1.81,24.92,1.81,24.92,8.23,,17.22,0.67,4.73,,,14.28,29.52,1.14,0.07,,,24.92,,24.92,7.48,,15.85,0.54,4.46,,,13.86,31.15,0.99,0.06,,,24.92,1.81,23.11,7.55,,16.4,0.6,3.86,,,14.08,28.25,,,,,23.11,,23.11,-7.51,,-5.69,-0.19,-3.85,,,1.32,2.69,,,,53.35,23.11,23.08,53.38
