,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr,CMIE Expr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%),(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),(%)
,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L,L,L,L,L,L,L,L,L,L,L,L,L
Company Name,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III,Capital adequacy ratio (in per cent) Basel I,Capital adequacy ratio (amount) Basel I,Capital adequacy ratio (in per cent) Basel II,Capital adequacy ratio (amount) Basel II,Total capital adequacy ratio (CRAR) (%) Basel III,Total capital adequacy ratio (CRAR) (amount) Basel III,Capital adequacy ratio (in per cent) (Time series),Capital adequacy ratio (amount) (Time series),Total risk weighted assets,Total capital adequacy ratio of the bank (%),Total capital adequacy ratio of the bank (%) - Basel III,Tier 2 capital adequacy ratio of the bank (%) - Basel III,Tier I capital adequacy ratio of the bank (%) - Basel III
A B Bank Ltd.,86.21,,,,,,86.21,,,,,,,100,,,,,,100,,,,,,,109.41,,,,,,109.41,,,,,,,136.59,,50.67,,,,50.67,,,50.67,,,,43.52,,,,,,43.52,,,,,,,37.68,,30.57,48.33,,,30.57,48.33,,30.57,,,,47.32,,34.36,50.49,,,34.36,50.49,,34.36,,,,38.16,,19.1,50.5,,,19.1,50.5,,19.1,,,,,,29.1,52.28,29.1,,29.1,52.28,,29.1,,,,,,30.18,,30.18,,30.18,,,30.18,,,,,,,,28.52,,28.52,,,,28.52,,27.79,,,,,32.95,,32.95,,,,32.95,,32.68,,,,,36.62,,36.62,,,,36.62,,36.33,,,,,33.56,,33.56,,,,33.56,,33.28,,,,,45,,45,,,,45,,44.44
A P Mahesh Co-Operative Urban Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.42,,,,,,14.42,,,,,,,16.54,,,,,,16.54,,,,,,,27.37,,,,,,27.37,,,,,,,41.53,,,,,,41.53,,,,,,,44.48,,,,,,44.48,,,,,,,39.75,,,,,,39.75,,,,,,,35.15,,,,,,35.15,,,,,,,36.78,,,,,,36.78,,,,,,
A U Small Finance Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhyudaya Co-Op. Bank Ltd.,37.18,,,,,,37.18,,,,,,,41.73,,,,,,41.73,,,,,,,39.65,,,,,,39.65,,,,,,,22.6,,,,,,22.6,,,,,,,23.94,,,,,,23.94,,,,,,,26.42,,,,,,26.42,,,,,,,20.91,,,,,,20.91,,,,,,,16.07,,,,,,16.07,,,,,,,14.48,,,,,,14.48,,,,,,,13.22,894.79,,,,,13.22,894.79,,,,,,13.08,896.7,,,,,13.08,896.7,,,,,,12.81,849.14,,,,,12.81,849.14,,,,,,12.33,827.02,,,,,12.33,827.02,,,,,,12.6,1000.03,,,,,12.6,1000.03,,,,,,12.01,959.98,,,,,12.01,959.98,,,,,
Abu Dhabi Commercial Bank Ltd.,14.38,,,,,,14.38,,,,,,,36.98,,,,,,36.98,,,,,,,27.66,78.23,,,,,27.66,78.23,,,,,,55.73,108.39,,,,,55.73,108.39,,,,,,54.29,125.36,46.67,125.66,,,46.67,125.66,264.17,46.67,,,,50.91,133.42,,133.82,,,50.91,133.82,,,,,,,,45.25,139.78,,,45.25,139.78,,45.25,,,,,,80.88,312.6,,,80.88,312.6,,80.88,,,,,,66.82,326.66,,,66.82,326.66,,66.82,,,,,,35.92,326.66,35.92,,35.92,326.66,,35.92,,,,,,,,27.56,,27.56,,,,27.56,0.9,26.66,,,,,24.89,,24.89,,,,24.89,0.82,24.07,,,,,25.52,,25.52,,,,25.52,0.88,24.64,,,,,19.02,,19.02,,,,19.02,0.59,18.43,,,,,28.12,,28.12,,,,28.12,0.94,27.18
