,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone,Annual Finance Standalone
,Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%),Rs. Crore,Rs. Crore,Rs. Crore,(%),Rs. Crore,Rs. Crore,(%),(%),(%),Rs. Crore,Rs. Crore,(%),(%)
,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 14,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 13,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 12,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 11,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 10,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 9,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 8,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 7,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 6,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 5,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 4,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 3,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 2,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L - 1,L,L,L,L,L,L,L,L,L,L,L,L,L
Company Name,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses,Interest income,Total income,Other income,Operating profit as a percentage to working funds,Operating profit of financial companies,Gross advances - Basel III,Interest spread (%),Average cost of deposits (%),Net Interest Margin (NIM) (%),Operating expenses of non-finance cos,Operating expenses of finance cos,Operating expenses of non-finance cos as % of total expenses,Operating expenses of finance cos as % of total expenses
A B Bank Ltd.,3.75,7.8,0.56,6.09,4.57,,,,,2.14,2.52,43.41,51.12,4.52,9.37,0.63,6.74,5.25,,,,,2.82,3.35,40.34,47.93,4.45,8.89,0.39,6.94,5.09,,,,,2.88,3.31,47.92,55.07,4.55,12.24,0.65,8.67,6.61,,,,,4,4.72,47.39,55.92,3.3,15.77,0.61,9.58,8.01,,,,,5.91,6.34,53.48,57.38,3.99,19.95,0.59,10.89,10.76,,,,,7.51,7.78,51.3,53.14,5.08,23.92,0.61,11.92,13.2,,,,,8.54,9.09,54.19,57.68,6.91,25.24,0.53,8.65,13.22,,,,,9.49,10.83,55.01,62.78,7.96,30.39,0.59,6.99,14.41,,,,,12.89,14.67,55.61,63.29,7.97,34.07,0.63,9.41,18.81,,,,,12.56,14.16,53.49,60.31,8.07,35.78,0.54,8.42,18.88,,,,,14.06,15.79,49.01,55.04,7.43,37.67,2.63,6.87,13.32,,,,,17.43,19.23,58.92,65.01,6.92,33.31,2.69,7.42,13.72,,,,,14.75,16.52,61.23,68.58,7.79,35.89,3.05,8.54,15.61,,,,,15.01,16.85,56.62,63.56,7.1,33.22,3.06,2.39,2.83,,,,,25.49,26.86,85.02,89.59
A P Mahesh Co-Operative Urban Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.03,62.48,0.4,,8.24,,,,,10.22,51.84,18.36,93.14,,,,,,,,,,,,0,0,63.55,94.27,0.4,8.22,35.77,,,9.71,,13.22,56.14,16.07,68.24,45.96,51.25,0.37,2.09,6.98,,,8.54,,12.95,42.36,28.05,91.75,43.64,47.68,0.41,1.17,2.6,,,7.44,,13.14,40.9,29.51,91.87,45.86,48.35,1.87,1.62,3,,4.33,6.31,,12.84,41.52,29.49,95.36,50.45,52.88,0.61,1.99,4.89,,4.57,5.88,,15.59,45.46,32,93.31,63.67,67.24,0.9,2.75,13.09,,,6.78,,17.27,49.49,29.47,84.44
A U Small Finance Bank Ltd.,27.21,54.27,1.3,,20.17,,,,,19.54,32.18,46.06,75.86,137,158.74,,,69.18,,,,,38.52,87.87,33,75.27,215.92,253.42,0.02,,79.38,,,,,64.84,171.78,31.89,84.49,437.88,440.86,0.01,,140.41,,,,,90.86,295.79,25.19,82.02,610.68,618.66,0.06,,210.64,,,,,106.56,400.39,20.25,76.08,703.92,719.19,1.42,,266.83,,,,,139.58,430.82,24.11,74.41,1010.47,1035.14,1.65,,362.88,,,,,239.08,640.5,29.03,77.78,1280,2089.97,34.61,,1206.16,,,,,347.06,843.36,27.37,66.51,1767.19,2155.85,186.03,4.45,390.01,,,,7,699.36,1526.56,37.52,81.91,2949.13,3412.91,123.11,2.94,600.66,,,,5.5,1020.86,2627.39,33.68,86.68,4285.88,4993.12,105.49,3.33,1092.83,,4.6,,5.4,1329.23,3706.18,30.78,85.82,4950.05,6408.24,139.38,4.8,1989.5,,4.8,6.67,5.34,1554.06,4138.67,29.67,79.02,5921.73,6916.06,238.72,3.3,1576.96,,,5.8,5.7,2272.6,4960.21,39.28,85.72,8205.41,9379.71,94.31,2.62,1925.83,,,5.93,6.1,3254.86,7079.26,40.93,89.03,10554.72,12401.82,72.91,,2366.66,,,,,4239.37,9637,39.01,88.68
Abhyudaya Co-Op. Bank Ltd.,194.34,257.49,3.71,4.9,100.9,,,,,52.78,147.92,34.52,96.76,192.7,208.28,5.71,3.03,32.05,,,,,50.57,158.91,29.66,93.19,202.39,215.49,6.48,3.76,54.4,,,4.89,,53.06,139.43,34.32,90.18,233.17,254.46,7.57,3.04,46.94,,,4.81,,71.74,178.91,34.12,85.1,292.81,332.22,8.39,3.92,79.2,,,5.36,,70.24,224.22,25.14,80.25,357.83,447.44,7.73,4.62,152.63,,,,,82.11,261.69,23.69,75.52,401.17,438.58,6.9,1.17,25.8,,,6.51,,130.38,389.87,31.31,93.62,517.28,548.86,0.98,2.13,100.8,,,5.9,7.77,131.92,433.37,25.05,82.3,682.41,727.15,2.32,1.81,104.77,,,6.89,8.27,151.74,597.6,23.19,91.34,866.9,976.23,1.01,2.12,187.67,,,7.8,,169.22,763.25,20.13,90.79,967.75,1050.27,1.05,1.72,82.46,,,7.9,,184.92,938.96,18.74,95.14,1007.5,1162.6,1.11,0.78,137.92,,,7.87,,213.35,991.22,19.26,89.48,1008.07,1088.3,1.25,0.7,77.34,,,7.49,,200.88,979.04,19.49,94.99,941.45,1073.64,2.88,0.36,39.59,,,5.9,,314.76,999.46,30.39,96.49,853.68,1003.06,1.63,0.34,38.41,,,5.62,,285.46,929.93,29.01,94.49
Abu Dhabi Commercial Bank Ltd.,149.81,190.29,1.6,0.26,-2.13,,,,,13.52,155.63,5.62,64.71,111.37,124.85,0.03,0.3,5.08,,,,,8.22,111.66,6.83,92.84,46.64,64.24,0.01,1.33,5.78,,,,,10.29,45.54,16.51,73.07,48.95,94.2,,2.76,17.01,,,,,10.72,37.39,16.43,57.32,47.79,58.48,0.3,2.92,20.42,,,,,11.17,31.61,26.52,75.05,41.1,44.96,,1.66,11.33,,,,,12.76,32.85,34.17,87.98,42.81,52.79,,1.01,7.57,,,,,14.24,38.63,31.95,86.67,75.53,85.13,,2.61,22.35,,,,,16.81,57.09,24.43,82.97,117.59,127.65,0.34,2.33,30.32,,,,,22.26,91.67,20.34,83.76,149.59,163.62,1.88,1.84,30.45,,,,,25.85,128.14,16.88,83.66,182.17,196.56,0.22,1.42,31.12,,,,,31.55,163.9,17.25,89.59,185.24,207.08,0.07,1.15,29.52,,,,,37.39,175.98,19.69,92.69,198.25,225.29,,1.06,31.15,,,,,38.65,192.04,18.45,91.69,181.14,202.04,,1.14,28.25,,,,,41.98,170.52,22.61,91.86,192.25,214.3,0.03,0.13,2.69,,,,,48.86,199.23,22.21,90.56
Aditya Birla Idea Payments Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,2.65,0.02,,-35.32,,,,,36.71,37.32,96.73,98.34,0.88,4.24,0.41,-4.59,-119.54,,,,,94.32,118.28,76.4,95.8,8.12,24.62,0.31,,-151.84,,,,,111.17,148.17,62.74,83.62
Ahmedabad Mercantile Cooperative Bank Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.22,76.42,0.57,,19.95,,,,,9.36,54.98,16.2,95.19,64.16,65.01,0.35,3.52,18.32,,,,,9.28,45.58,19.94,97.96,50.34,51.66,0.8,2.96,14.83,,,,,9.65,35.19,26.78,97.67,41.02,42.48,0.96,2,9.11,,,6.4,,11.66,31.68,35.98,97.75,41.82,42.99,0.77,2.18,11.25,,,5.8,,11.78,30.23,38,97.52,48.45,49.75,0.57,3.01,18.15,,,5.33,,11.97,30.46,32.6,82.95,53.3,55.85,,3.16,21.56,,,5.31,,12.92,33.51,31.81,82.5,60.21,63.63,,2.91,22.26,,,5.52,,16.36,40.49,34.24,84.74
