Company Name,Type,Subcategory
A B Bank Ltd.,Foreign Bank,Foreign Bank
A P Mahesh Co-Operative Urban Bank Ltd.,Indian Bank,Foreign Bank
A U Small Finance Bank Ltd.,Indian Bank,Foreign Bank
Abhyudaya Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Abu Dhabi Commercial Bank Ltd.,Foreign Bank,Foreign Bank
Aditya Birla Idea Payments Bank Ltd.,Foreign Bank,Foreign Bank
Ahmedabad Mercantile Cooperative Bank Ltd.,Indian Bank,Foreign Bank
Airtel Payments Bank Ltd.,Foreign Bank,Foreign Bank
Allahabad Bank [Merged],Foreign Bank,Foreign Bank
American Express Bank Ltd.,Foreign Bank,Foreign Bank
American Express Banking Corpn.,Foreign Bank,Foreign Bank
American Express Intl. Banking Corpn.,Foreign Bank,Foreign Bank
Andhra Bank [Merged],Foreign Bank,Foreign Bank
Andhra Pradesh Grameena Vikas Bank,Foreign Bank,Indian Public Bank
Andhra Pragathi Grameena Bank,Foreign Bank,Indian Public Bank
Antwerp Diamond Bank N V,Foreign Bank,Foreign Bank
Apex Co-Operative Bank,Indian Bank,Foreign Bank
Apna Co-Operative Urban Bank Ltd.,Indian Bank,Foreign Bank
Apna Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Australia & New Zealand Banking Group Ltd.,Foreign Bank,Foreign Bank
Axis Bank Ltd.,Indian Bank,Indian Public Bank
B N P Paribas,Foreign Bank,Foreign Bank
Banares State Bank Ltd. [Merged],Indian Bank,Foreign Bank
Bandhan Bank Ltd.,Indian Bank,Indian Public Bank
Bank Muscat Al Ahli Al Omani,Foreign Bank,Foreign Bank
Bank Muscat S A O G,Foreign Bank,Foreign Bank
Bank Of America N A,Foreign Bank,Foreign Bank
Bank Of Bahrain & Kuwait Bsc,Foreign Bank,Foreign Bank
Bank Of Baroda,Foreign Bank,Foreign Bank
Bank Of Ceylon,Foreign Bank,Foreign Bank
Bank Of India,Foreign Bank,Foreign Bank
Bank Of Madura Ltd. [Merged],Foreign Bank,Foreign Bank
Bank Of Maharashtra,Foreign Bank,Foreign Bank
Bank Of Nova Scotia,Foreign Bank,Foreign Bank
Bank Of Punjab Ltd. [Merged],Foreign Bank,Foreign Bank
Bank Of Rajasthan Ltd. [Merged],Foreign Bank,Foreign Bank
Bank Of Tokyo Mitsubishi Ufj (India Branch),Foreign Bank,Foreign Bank
Banque Nationale De Paris,Foreign Bank,Foreign Bank
Barclays Bank Plc,Foreign Bank,Foreign Bank
Bareilly Corporation Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Baroda Gujarat Gramin Bank,Foreign Bank,Indian Public Bank
Bhandari Co-Operative Bank Ltd.,Indian Bank,Foreign Bank
Bharat Co-Op. Bank (Mumbai) Ltd.,Indian Bank,Foreign Bank
Bharat Overseas Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Bharat Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Bharatiya Mahila Bank Ltd. [Merged],Foreign Bank,Foreign Bank
Bombay Mercantile Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
British Bank Of The Middle East,Foreign Bank,Foreign Bank
C S B Bank Ltd.,Foreign Bank,Foreign Bank
Canara Bank,Indian Bank,Indian Public Bank
Capital Small Finance Bank Ltd.,Indian Bank,Foreign Bank
Central Bank Of India Ltd.,Indian Bank,Foreign Bank
Centurion Bank Of Punjab Ltd. [Merged],Foreign Bank,Foreign Bank
Chase Manhattan Bank N A [Merged],Foreign Bank,Foreign Bank
Chembur Nagarik Sahakari Bank Ltd.,Foreign Bank,Foreign Bank
Chinatrust Commercial Bank,Foreign Bank,Foreign Bank
Cho Hung Bank,Foreign Bank,Foreign Bank
Citibank N A,Foreign Bank,Foreign Bank
Citizencredit Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
City Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
City Union Bank Ltd.,Indian Bank,Indian Public Bank
Co-Operative Bank Of Ahmedabad Ltd.,Indian Bank,Foreign Bank
Co-Operative Bank Of Rajkot Ltd.,Indian Bank,Foreign Bank
Coastal Local Area Bank Ltd.,Foreign Bank,Foreign Bank
Commerzbank A G,Foreign Bank,Foreign Bank
Commonwealth Bank Of Australia,Foreign Bank,Foreign Bank
Cooperatieve Rabobank U A,Foreign Bank,Foreign Bank
Corporation Bank [Merged],Foreign Bank,Foreign Bank
Cosmos Co-Operative Bank Ltd.,Indian Bank,Foreign Bank
Credit Agricole Corporate & Invst. Bank,Foreign Bank,Foreign Bank
Credit Lyonnais,Foreign Bank,Foreign Bank
Credit Suisse A G (Mumbai),Foreign Bank,Foreign Bank
D B S Bank India Ltd.,Foreign Bank,Foreign Bank
D B S Bank Ltd.,Foreign Bank,Foreign Bank
D C B Bank Ltd.,Foreign Bank,Foreign Bank
Deccan Merchants Co-Op. Bank Ltd.,Indian Bank,Foreign Bank
Dena Bank [Merged],Foreign Bank,Foreign Bank
Deutsche Bank A G,Foreign Bank,Foreign Bank
Dhanlaxmi Bank Ltd.,Foreign Bank,Indian Public Bank
Doha Bank,Foreign Bank,Foreign Bank
Doha Bank Q S C,Foreign Bank,Foreign Bank
